libpthread.a,,,,,,,,
  ,-A @@,-B @@,-o @@,-d @@,-x @@,-t @@,--common @@,
original-1,65,19,19,26,28,19,39,
original-2,49,23,19,24,20,29,25,
original-3,47,22,12,19,20,19,19,
original-avg,53.66666667,21.33333333,16.66666667,23,22.66666667,22.33333333,27.66666667,26.76190476
now-1,42,34,32,40,34,41,31,
now-2,63,29,37,34,36,36,40,
now-3,61,31,36,34,30,34,31,
now-avg,55.33333333,31.33333333,35,36,33.33333333,37,34,37.42857143
