Manhattan_Sunset_by_Giacomo_Ferroni.jpg,,,,,,,,,,,,,
  ,-z @@,-Z @@,-b @@,-c @@,--apple @@,--extension @@,-k @@,-l @@,-h @@,-d @@,-s @@,бо-r @@,
,5,4,5,2,4,3,1,28,5,1053,6,5,
,5,5,5,2,4,4,1,30,5,1082,4,4,
,5,5,5,2,4,4,1,30,5,1015,5,5,
,5,4.666666667,5,2,4,3.666666667,1,29.33333333,5,1050,5,4.666666667,93.27777778
,23,21,21,15,20,20,26,36,26,1121,23,18,
,24,24,21,14,22,19,20,37,28,1181,18,20,
,18,20,19,15,17,18,25,40,20,897,20,16,
,21.66666667,21.66666667,20.33333333,14.66666667,19.66666667,19,23.66666667,37.66666667,24.66666667,1066.333333,20.33333333,18,108.9722222
