Definitive_Light_Zen_Orange_by_Pierre_Cante.jpg.wmf,,,,,
  ,@@,-verbose @@,#NAME?,#NAME?,
original-1,7,1302,4,4,
original-2,6,1109,4,4,
original-3,6,1134,5,4,
original-avg,6.333333333,1181.666667,4.333333333,4,299.0833333
now-1,26,1244,17,22,
now-2,23,1205,21,18,
now-3,23,1132,19,22,
now-avg,24,1193.666667,19,20.66666667,314.3333333
