freedesktop.org.xml ,,,,,,,,
  ,-c @@,-m @@,-l @@,-L @@,-w @@,¡®--help,¡¯--version,
original-1,1,115,4,114,124,1,1,
original-2,1,126,4,115,116,2,1,
original-3,1,129,4,115,123,1,1,
original-avg,1,123.3333333,4,114.6666667,121,1.333333333,1,52.33333333
now-1,11,135,14,129,123,12,11,
now-2,12,138,14,139,120,11,11,
now-3,11,126,14,123,138,13,11,
now-avg,11.33333333,133,14,130.3333333,127,12,11,62.66666667
