libglapi.so.0.0.0,,,,,,,,,,,,,,,,,,,,,,
  ,-T @@,-t @@,-a @@,-f @@,-p @@,-P @@,-h @@,-x @@,-d @@,-D @@,-S @@,-s @@,-g @@,-e @@,-G @@,-W @@,-r @@,-R @@,#NAME?,#NAME?,#NAME?,
original-1,3,2,2,8,3,2,3,3,285,1485,228,175,4,8,2,5,2,12,2,4,3,
original-2,3,2,2,2,3,2,3,5,192,1290,207,184,4,4,4,5,2,17,2,4,3,
original-3,3,2,2,3,3,2,3,3,218,997,182,177,4,5,2,6,2,15,2,4,3,
original-avg,3,2,2,4.333333333,3,2,3,3.666666667,231.6666667,1257.333333,205.6666667,178.6666667,4,5.666666667,2.666666667,5.333333333,2,14.66666667,2,4,3,92.36507937
now-1,21,17,17,21,20,16,17,17,240,1279,202,271,20,19,18,18,15,21,14,13,13,
now-2,16,15,16,21,19,17,19,18,218,1450,314,227,21,16,21,17,14,26,13,12,14,
now-3,18,17,17,22,22,22,16,18,188,1212,252,206,18,21,15,22,16,31,13,18,12,
now-avg,18.33333333,16.33333333,16.66666667,21.33333333,20.33333333,18.33333333,17.33333333,17.66666667,215.3333333,1313.666667,256,234.6666667,19.66666667,18.66666667,18,19,15,26,13.33333333,14.33333333,13,110.6190476
